Time,Temp,Wet Bulb Temp.,Rel. Hum.,Baro.,Altitude,Station P.,Wind Speed,Heat Index,Dew Point,Dens. Alt.,Crosswind,Headwind,Mag. Dir.,True Dir.,Wind Chill
2019-05-23 19:10:40,26.9,20.4,56,999.7,110,999.7,0,27.5,17.4,638,***,***,***,***,26.9
2019-05-23 19:10:45,26.9,20.4,56,998.9,118,998.9,0,27.5,17.4,645,***,***,***,***,26.9
2019-05-23 19:10:50,26.8,20.4,56.1,999,118,999,0,27.2,17.3,638,***,***,***,***,26.7
2019-05-23 19:10:55,26.6,20.2,56.2,998.9,118,998.9,0,27.1,17.2,633,***,***,***,***,26.6
2019-05-23 19:11:00,26.5,20.2,56.4,999,117,999,0,26.9,17.1,628,***,***,***,***,26.5
2019-05-23 19:11:05,26.5,20.1,56.4,998.7,118,998.8,0,26.8,17.1,629,***,***,***,***,26.4
2019-05-23 19:11:10,26.5,20.1,56.1,999,117,999.1,0,26.9,17.1,627,***,***,***,***,26.5
2019-05-23 19:12:05,26.6,20.1,55.6,999.2,114,999.3,0,26.9,17,628,***,***,***,***,26.5
2019-05-23 19:12:10,26.6,20,55.3,999,118,999,0,26.9,16.9,630,***,***,***,***,26.5
2019-05-23 19:12:05,26.6,20,55.2,998.9,118,998.9,0,26.9,16.9,631,***,***,***,***,26.5
2019-05-23 19:12:10,26.3,19.8,55.3,998.7,118,998.8,0,26.6,16.6,622,***,***,***,***,26.3
2019-05-23 19:12:15,26.3,19.8,55.2,998.9,118,998.9,0,26.6,16.6,621,***,***,***,***,26.3
2019-05-23 19:12:20,26.4,19.8,55,1000.2,106,1000.2,0,26.6,16.6,609,***,***,***,***,26.3
2019-05-23 19:12:25,26.4,19.8,54.8,998.7,119,998.7,0,26.6,16.6,627,***,***,***,***,26.4
2019-05-23 19:12:30,26.6,19.9,54.7,999,118,999,0,26.8,16.7,628,***,***,***,***,26.5
2019-05-23 19:12:35,26.6,19.9,54.7,998.9,118,998.9,0,26.8,16.7,631,***,***,***,***,26.5
2019-05-23 19:12:40,26.6,19.9,54.7,999,118,999,0,26.9,16.8,632,***,***,***,***,26.6
2019-05-23 19:12:45,26.6,20,54.6,998.9,118,998.9,0,26.9,16.8,633,***,***,***,***,26.6
2019-05-23 19:12:50,26.7,20,54.6,999,118,999,0,27.1,16.8,634,***,***,***,***,26.7
2019-05-23 19:12:55,26.7,20,54.6,998.9,118,998.9,0,27.1,16.8,636,***,***,***,***,26.7
2019-05-23 19:13:00,26.8,20.1,54.5,998.9,118,998.9,0,27.1,16.9,638,***,***,***,***,26.7
2019-05-23 19:13:05,26.8,20.1,54.5,999,118,999,0,27.2,16.9,637,***,***,***,***,26.8
2019-05-23 19:13:10,26.9,20.2,54.5,999,118,999,0,27.2,16.9,639,***,***,***,***,26.8
2019-05-23 19:13:15,26.9,20.2,54.5,998.9,118,998.9,0,27.2,16.9,642,***,***,***,***,26.8
2019-05-23 19:13:20,26.9,20.2,54.6,998.9,118,998.9,0,27.3,17,643,***,***,***,***,26.9
2019-05-23 19:13:25,26.9,20.2,54.6,999,118,999,0,27.3,17,644,***,***,***,***,26.9
2019-05-23 19:13:30,26.9,20.2,54.6,998.9,118,998.9,0,27.3,17,645,***,***,***,***,26.9
2019-05-23 19:13:35,27,20.3,54.7,999,118,999,0,27.3,17.1,645,***,***,***,***,26.9
2019-05-23 19:13:40,27,20.3,54.8,999,118,999,0,27.3,17.1,645,***,***,***,***,26.9
2019-05-23 19:13:45,27,20.3,54.8,999,118,999,0,27.3,17.1,645,***,***,***,***,26.9
2019-05-23 19:13:50,27,20.3,55,998.9,118,998.9,0,27.3,17.2,647,***,***,***,***,26.9
2019-05-23 19:13:55,27,20.3,55.1,998.9,118,998.9,0,27.4,17.2,647,***,***,***,***,26.9
2019-05-23 19:14:00,27,20.3,55.2,998.9,118,998.9,0,27.4,17.2,646,***,***,***,***,26.9
2019-05-23 19:14:05,27,20.4,55.3,998.9,118,998.9,0,27.6,17.3,647,***,***,***,***,27
2019-05-23 19:14:10,27,20.4,55.4,998.9,118,998.9,0,27.6,17.3,648,***,***,***,***,27
2019-05-23 19:14:15,27,20.4,55.5,998.9,118,998.9,0,27.6,17.4,648,***,***,***,***,27
2019-05-23 19:14:20,27.1,20.5,55.6,999,118,999,0,27.6,17.4,649,***,***,***,***,27
2019-05-23 19:14:25,27.1,20.5,55.7,998.9,118,998.9,0,27.6,17.5,651,***,***,***,***,27
2019-05-23 19:14:30,27.1,20.5,55.8,999,118,999,0,27.6,17.5,651,***,***,***,***,27
2019-05-23 19:14:35,27.2,20.6,55.9,999.4,113,999.4,0,27.7,17.6,649,***,***,***,***,27.1
2019-05-23 19:14:40,27.2,20.8,56.5,998.9,118,998.9,0,27.9,17.9,659,***,***,***,***,27.2
