date,PM10,PM2.5,PM1
5/23/2019 7:17:01 PM,44.6,22.8,16.7
5/23/2019 7:17:07 PM,41.8,22.7,16.9
5/23/2019 7:17:13 PM,37.8,24.7,17.1
5/23/2019 7:17:19 PM,40.3,21.3,15.9
5/23/2019 7:17:25 PM,58.5,24.4,16.9
5/23/2019 7:17:31 PM,37.8,22.3,16.5
5/23/2019 7:17:37 PM,41,25,17.1
5/23/2019 7:17:43 PM,42.3,24.5,17.1
5/23/2019 7:17:49 PM,36.3,24.8,17.1
5/23/2019 7:17:55 PM,69.4,22.6,16.8
5/23/2019 7:18:01 PM,41.9,26.6,17.7
5/23/2019 7:18:07 PM,36.9,27.8,17.8
5/23/2019 7:18:13 PM,47.5,21.2,16.3
5/23/2019 7:18:19 PM,37.6,24.2,17.1
5/23/2019 7:18:25 PM,41.6,20.3,16.4
5/23/2019 7:18:31 PM,38,23.8,17.2
5/23/2019 7:18:37 PM,35,24.3,16.9
5/23/2019 7:18:43 PM,44.6,21.6,16.7
5/23/2019 7:18:49 PM,36.5,21.9,16.4
5/23/2019 7:18:55 PM,40.6,23.1,16.5
5/23/2019 7:19:01 PM,38.6,20.9,16.1
5/23/2019 7:19:07 PM,38.2,23.6,17.1
5/23/2019 7:19:13 PM,29.8,21.5,16
5/23/2019 7:19:19 PM,39.1,23.2,16.4
5/23/2019 7:19:25 PM,56.2,20.2,15.5
5/23/2019 7:19:31 PM,36.2,20.9,16.3
5/23/2019 7:19:37 PM,47.7,24.2,16.1
5/23/2019 7:19:43 PM,34,21.1,15.9
5/23/2019 7:19:49 PM,28.9,20.9,15.9
5/23/2019 7:19:55 PM,32.8,21,15.5
5/23/2019 7:20:01 PM,49.1,21.9,15.6
5/23/2019 7:20:07 PM,32.1,21.4,15.8
5/23/2019 7:20:13 PM,33.2,20.9,16.6
5/23/2019 7:20:19 PM,30.5,20.4,15.2
5/23/2019 7:20:25 PM,29.3,20.2,15.3
5/23/2019 7:20:31 PM,24.9,18.7,15
5/23/2019 7:20:37 PM,37.4,19.2,14.4
5/23/2019 7:20:43 PM,27.3,19.9,15.5
5/23/2019 7:20:49 PM,31.6,20,15.8
5/23/2019 7:20:55 PM,34,21.9,15.8
5/23/2019 7:21:01 PM,41.2,21.3,15.3
5/23/2019 7:21:07 PM,45.8,21.8,15.4
5/23/2019 7:21:13 PM,29.5,20.3,15
5/23/2019 7:21:19 PM,28.5,17.6,15
5/23/2019 7:21:25 PM,30.6,21.4,15.4
5/23/2019 7:21:31 PM,46.5,19.5,15.5
5/23/2019 7:21:37 PM,32.1,23.2,15.2
5/23/2019 7:21:43 PM,35,21.5,15.1
5/23/2019 7:21:49 PM,29.1,20.9,14.4
5/23/2019 7:21:55 PM,28.9,22.3,15.4
5/23/2019 7:22:01 PM,42.3,22,15.7
5/23/2019 7:22:07 PM,48.2,22.1,15.7
5/23/2019 7:22:13 PM,28.2,20.5,14.6
5/23/2019 7:22:19 PM,33.9,20.8,15.3
5/23/2019 7:22:25 PM,31.4,19.1,15
5/23/2019 7:22:31 PM,29.4,22.7,15.3
5/23/2019 7:22:37 PM,38.4,22.8,15.6
5/23/2019 7:22:43 PM,24.6,19.2,14.7
5/23/2019 7:22:49 PM,32.3,18.5,13.7
5/23/2019 7:22:55 PM,26.6,19.8,14.4
5/23/2019 7:23:01 PM,45.3,18.3,14.2
5/23/2019 7:23:07 PM,25.4,20,14.8
5/23/2019 7:23:13 PM,27.3,22.3,14.8
5/23/2019 7:23:19 PM,38.3,18.8,14.1
5/23/2019 7:23:25 PM,36.5,18.4,14
5/23/2019 7:23:31 PM,36.2,20.7,14.7
5/23/2019 7:23:37 PM,33.3,17.7,14.2
5/23/2019 7:23:43 PM,30.5,21.7,14.9
5/23/2019 7:23:49 PM,28.7,19.6,14.3
5/23/2019 7:23:55 PM,32.5,18.2,13.9
5/23/2019 7:24:01 PM,29.1,16.9,13.9
5/23/2019 7:24:07 PM,30.6,17.9,13.8
5/23/2019 7:24:13 PM,29.2,18.8,14.1
5/23/2019 7:24:19 PM,27.5,17.6,14.1
5/23/2019 7:24:25 PM,26.8,18.9,13.9
5/23/2019 7:24:31 PM,40,20.6,14.5
5/23/2019 7:24:37 PM,24.4,21,14.6
5/23/2019 7:24:43 PM,30.6,19.8,14.8
5/23/2019 7:24:49 PM,27.7,20.5,14.1
5/23/2019 7:24:55 PM,35.3,19.3,14.5
5/23/2019 7:25:01 PM,27.1,20.6,14.5
5/23/2019 7:25:07 PM,32.6,17.8,14.2
5/23/2019 7:25:13 PM,31.5,21.6,14.9
5/23/2019 7:25:19 PM,25.6,20.6,14.9
5/23/2019 7:25:25 PM,28.7,19.6,14.1
5/23/2019 7:25:31 PM,40.4,17.7,14.4
5/23/2019 7:25:37 PM,27.1,20.6,15
